Order_ID,Customer_ID,Supplier_ID,Supplier_Reliability_Score,Item_ID,Item_Category,Order_Quantity,Order_Date,Expected_Delivery_Days,Transport_Mode,Shipment_Distance_km,Actual_Delivery_Days,Delay,Disruption_Flag,Inventory_Level,Stock_Shortage_Risk,Cost_Per_Unit,Total_Order_Cost,Customer_Priority,Order_Flexibility,Predicted_Optimal_Supplier_ID
O00001,C0098,2,85,1,2,-1.1592475665063113,2026-03-14,1.5402419772257903,1,1.2741665020255164,1.163869629268067,0,0,-1.2657367792903567,-0.2637033353414171,-0.7732847064996938,-0.9623100160245093,1,1,0
O00002,C0910,4,60,1,2,0.238994530416538,2026-01-29,-1.6436842010626276,0,-1.251033148031346,-1.6769924512842773,0,0,0.6266270297368596,-0.2637033353414171,-0.861053078747976,-0.4730580648454951,0,0,0
O00003,C0591,0,90,0,2,-0.6349067801602428,2026-02-05,-1.2899146256972478,1,-1.5842192129694042,-1.3613411090006835,0,0,-0.09591187916444115,-0.2637033353414171,0.6529513425348907,-0.1522624488422877,1,1,0
O00004,C0180,1,80,4,0,-1.1592475665063113,2026-03-24,0.12516367576427123,0,0.20937398291820622,-0.09873573986630821,0,0,0.5578138003176881,-0.2637033353414171,1.1247063433694071,-0.5039674841438083,0,1,0
O00005,C0660,1,80,2,1,1.1128958409933187,2026-02-09,0.8327028264950307,3,0.7543962407221457,1.163869629268067,1,1,-1.4377698528382854,2.8821760006731023,-1.731422770210107,-1.0473109190948706,0,0,0
O00006,C0838,2,85,2,1,1.6372366273393872,2026-03-06,-0.2286058996011085,1,-0.6127187920447501,-0.414387082149902,0,0,0.041714579673901846,-0.2637033353414171,0.9711116919349134,2.2496202122030624,0,0,0
O00007,C0634,2,85,1,2,0.238994530416538,2026-02-02,0.8327028264950307,3,0.5993770399825439,0.5325669447008794,0,0,-0.47438464096988436,-0.2637033353414171,-1.5522290102031977,-0.9737906574781685,0,1,0
O00008,C0286,0,90,1,2,0.41377479253189414,2026-02-24,1.5402419772257903,0,1.2832852785396107,1.163869629268067,0,0,-0.37116479684112713,-0.2637033353414171,-0.2101043179065502,0.10163635253671337,0,0,0
O00009,C0054,0,90,3,1,-1.3340278286216674,2026-02-23,-0.936145050331868,3,-1.332400692310956,-1.0456897667170897,0,0,-0.6808243292273989,-0.2637033353414171,-0.9963626526307442,-1.0718176729671045,0,0,0
O00010,C0102,4,60,0,2,0.41377479253189414,2026-02-03,0.47893325112965096,2,0.8939836658225111,0.2169156024172856,0,0,-0.5431978703890559,-0.2637033353414171,1.5854902976728882,1.5108850909733775,0,0,0
O00011,C0371,1,80,3,1,1.287676103108675,2026-01-26,-0.936145050331868,0,-1.3723830201035228,-1.0456897667170897,0,0,-1.6442095410957998,5.634820419685807,0.3567330861969385,1.233141880421392,0,0,0
O00012,C0604,4,60,1,2,0.41377479253189414,2026-02-11,-0.2286058996011085,1,-0.16169007677070493,-0.09873573986630821,1,0,-0.6120110998082274,-0.2637033353414171,0.09342796945209214,0.3398596627001413,1,1,0
O00013,C0705,3,70,4,0,-0.28534625592953045,2026-03-12,0.47893325112965096,1,0.24935631071077322,0.2169156024172856,0,0,0.9362865621231313,-0.2637033353414171,-0.5977479620031296,-0.5214092278907135,0,1,0
O00014,C0911,2,85,1,2,0.238994530416538,2026-02-25,1.89401155259117,0,1.7048533312296592,1.4795209715516608,0,0,-0.8528574027753276,-0.2637033353414171,-1.566857072244578,-0.9843881726661616,0,0,0
O00015,C0571,0,90,1,2,0.06421426830118185,2026-03-06,1.1864724018604105,3,1.4432145897098787,0.8482182869844732,0,0,-0.8528574027753276,-0.2637033353414171,0.46644355150729117,0.3447168571613048,1,0,0
O00016,C0183,4,60,0,2,0.9381155788779626,2026-03-13,0.12516367576427123,1,0.034012896108701896,0.8482182869844732,1,0,-0.9560772469040849,-0.2637033353414171,0.11537006251416268,0.7253442776633898,0,0,0
O00017,C0903,2,85,3,1,-0.28534625592953045,2026-02-08,-0.5823754749664882,1,-0.24796773148098106,-0.7300384244334959,0,0,-0.9904838616136706,-0.2637033353414171,1.1868756070452737,0.44826341181065393,0,1,0
